file,simtime,bgcells,bgstims,SpinyStellate,DeepBasket,DeepLTS,DeepAxoaxonic,SupPyrRS,SupPyrFRB,SupLTS,SupBasket,SupAxoaxonic,TCR,nRT,TuftedIB,TuftedRS,NontuftedRS
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_19/data_20120119_132336_9035.h5,10.0,20,14,20,0,0,0,0,0,0,0,0,20,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_08_27/data_20120827_165508_24271.h5,20.0,5,17,240,0,60,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_03_22/data_20120322_114922_24526.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_03_22/data_20120322_115006_24578.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_03_22/data_20120322_115007_24601.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_03_22/data_20120322_115005_24555.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_03/data_20120103_101152_12049.h5,5.0,10,2,20,20,20,20,20,20,20,20,20,20,20,20,20,20
/data/subha/rsync_ghevar_cortical_data_clone/2012_05_03/data_20120503_093603_26726.h5,10.0,20,7,1000,100,100,100,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_11_28/data_20121128_092639_11369.h5,20.0,10,17,240,60,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_26/data_20120426_142300_7898.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_26/data_20120426_142251_7866.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_26/data_20120426_132826_7763.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,0,0,0,0
